"protein"	"targetcluster"	"annotcluster"	"categorycluster"	"cluster.ref"	"targetsingle"	"annotsingle"	"categorysingle"	"annot"
"bin_21||F1T2_NODE_10_length_11571_cov_12.400139_14"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_3225"	"adaptor Ad4"	"connector"	"adaptor Ad4"
"bin_07||F1T1_NODE_15_length_10016_cov_5.736271_8"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_3225"	"adaptor Ad4"	"connector"	"adaptor Ad4"
"bin_41||F2M_NODE_13_length_16832_cov_10.453120_6"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_3225"	"adaptor Ad4"	"connector"	"adaptor Ad4"
"bin_16||F1T1_NODE_57_length_3474_cov_2.570050_5"	"phrog_3225"	"adaptor Ad4"	"connector"	"YP_006488660.1"	"phrog_5472"	"lower collar"	"tail"	"lower collar"
"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_11"	"phrog_18340"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_11"	"phrog_18340"	NA	"unknown function"	"NA"
"bin_17||F1T1_NODE_58_length_3377_cov_1.918122_1"	"phrog_18340"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_11"	"phrog_3777"	NA	"unknown function"	"NA"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_7"	"phrog_18340"	NA	"unknown function"	"bin_17||F4T1_NODE_18_length_8231_cov_5.800391_11"	"phrog_18340"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_36_length_9459_cov_25.542960_22"	"phrog_5696"	NA	"unknown function"	"bin_36||F2M_NODE_36_length_9459_cov_25.542960_22"	"phrog_5696"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_18_length_13684_cov_7.727273_9"	"phrog_5696"	NA	"unknown function"	"bin_36||F2M_NODE_36_length_9459_cov_25.542960_22"	"phrog_5696"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_1_length_53054_cov_5.764014_21"	"phrog_11589"	"major head protein"	"head and packaging"	"bin_35||F2M_NODE_1_length_53054_cov_5.764014_21"	"phrog_11589"	"major head protein"	"head and packaging"	"major head protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_30"	"phrog_11589"	"major head protein"	"head and packaging"	"bin_35||F2M_NODE_1_length_53054_cov_5.764014_21"	"phrog_11589"	"major head protein"	"head and packaging"	"major head protein"
"bin_11||F1T1_NODE_23_length_6661_cov_3.524372_3"	"phrog_506"	"transposase"	"integration and excision"	"YP_164695.1"	"phrog_506"	"transposase"	"integration and excision"	"transposase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_72"	"phrog_16898"	NA	"unknown function"	"YP_009442999.1"	NA	NA	NA	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_13"	"phrog_16898"	NA	"unknown function"	"YP_009442999.1"	"phrog_16898"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_27"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009036748.1"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_2"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009036748.1"	"phrog_4321"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_32"	"phrog_19892"	NA	"unknown function"	"YP_009223734.1"	"phrog_19892"	NA	"unknown function"	"NA"
"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_3"	"phrog_1663"	"dCTP deaminase"	"DNA, RNA and nucleotide metabolism"	"bin_53||F2T2_NODE_34_length_4855_cov_9.307292_3"	"phrog_1663"	"dCTP deaminase"	"DNA, RNA and nucleotide metabolism"	"dCTP deaminase"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_14"	"phrog_28802"	NA	"unknown function"	"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_14"	"phrog_28802"	NA	"unknown function"	"NA"
"bin_31||F1T2_NODE_74_length_2225_cov_3.046544_3"	"phrog_28802"	NA	"unknown function"	"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_14"	"phrog_28802"	NA	"unknown function"	"NA"
"bin_31||F4T2_NODE_14_length_3067_cov_3.487716_4"	"phrog_28802"	NA	"unknown function"	"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_14"	"phrog_28802"	NA	"unknown function"	"NA"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_45"	"phrog_32997"	NA	"unknown function"	"bin_43||F2M_NODE_3_length_45859_cov_9.702144_45"	"phrog_32997"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_4_length_14783_cov_5.242260_8"	"phrog_32997"	NA	"unknown function"	"bin_43||F2M_NODE_3_length_45859_cov_9.702144_45"	"phrog_32997"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_7_length_14206_cov_35.101618_7"	"phrog_15924"	NA	"unknown function"	"YP_010110598.1"	"phrog_15924"	NA	"unknown function"	"NA"
"bin_46||F3T2_NODE_75_length_2201_cov_3.951538_2"	"phrog_15924"	NA	"unknown function"	"YP_010110598.1"	"phrog_15924"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_4"	"phrog_659"	"Sak-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_008853761.1"	"phrog_659"	"Sak-like ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"Sak-like ssDNA annealing protein"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_3"	"phrog_34605"	"minor tail protein"	"tail"	"YP_009052526.1"	"phrog_34605"	"minor tail protein"	"tail"	"minor tail protein"
"bin_63||F3M_NODE_31_length_3825_cov_2.748011_5"	"phrog_19897"	NA	"unknown function"	"YP_009854834.1"	"phrog_19897"	NA	"unknown function"	"NA"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_57"	"phrog_14314"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_010052739.1"	"phrog_32617"	NA	"unknown function"	"HNH endonuclease"
"bin_39||F4T1_NODE_7_length_18316_cov_12.186080_25"	"phrog_200"	"lipoprotein"	"other"	"YP_008241664.1"	"phrog_200"	"lipoprotein"	"other"	"lipoprotein"
"bin_33||F2M_NODE_29_length_10180_cov_3.568889_8"	"phrog_25862"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_009884097.1"	"phrog_1271"	"HNH endonuclease"	"DNA, RNA and nucleotide metabolism"	"HNH endonuclease"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_113"	"phrog_1357"	"major head protein"	"head and packaging"	"YP_007005951.1"	"phrog_1357"	"major head protein"	"head and packaging"	"major head protein"
"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_2"	"phrog_38431"	NA	"unknown function"	"YP_010110709.1"	"phrog_27900"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_47"	"phrog_28658"	NA	"unknown function"	"YP_010113217.1"	"phrog_21497"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_77"	"phrog_16829"	NA	"unknown function"	"YP_010112682.1"	"phrog_13142"	NA	"unknown function"	"NA"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_15"	"phrog_69"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"YP_007392375.1"	"phrog_69"	"exonuclease"	"DNA, RNA and nucleotide metabolism"	"exonuclease"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_16"	"phrog_17260"	NA	"unknown function"	"YP_009812655.1"	"phrog_17260"	NA	"unknown function"	"NA"
"bin_17||F3M_NODE_12_length_7213_cov_3.918692_3"	"phrog_26204"	NA	"unknown function"	"bin_17||F3M_NODE_12_length_7213_cov_3.918692_3"	"phrog_26204"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_42_length_3568_cov_3.962141_6"	"phrog_26204"	NA	"unknown function"	"bin_17||F3M_NODE_12_length_7213_cov_3.918692_3"	"phrog_26204"	NA	"unknown function"	"NA"
"bin_17||F1T1_NODE_58_length_3377_cov_1.918122_6"	"phrog_26204"	NA	"unknown function"	"bin_17||F3M_NODE_12_length_7213_cov_3.918692_3"	"phrog_26204"	NA	"unknown function"	"NA"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_18"	"phrog_424"	"phosphoadenosine phosphosulfate reductase"	"moron, auxiliary metabolic gene and host takeover"	"YP_003169710.1"	"phrog_28782"	NA	"unknown function"	"phosphoadenosine phosphosulfate reductase"
"bin_81||F4M_NODE_25_length_4092_cov_2.014119_3"	"phrog_380"	"endolysin"	"lysis"	"YP_009606452.1"	"phrog_380"	"endolysin"	"lysis"	"endolysin"
"bin_54||F2T2_NODE_46_length_3242_cov_4.200188_2"	"phrog_954"	"DNA methyltransferase"	"other"	"NP_463515.1"	"phrog_954"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_28||F4T1_NODE_54_length_2973_cov_2.653530_8"	"phrog_954"	"DNA methyltransferase"	"other"	"NP_463515.1"	"phrog_954"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_37||F2M_NODE_113_length_2922_cov_46.970701_6"	"phrog_6310"	NA	"unknown function"	"bin_37||F2M_NODE_113_length_2922_cov_46.970701_6"	"phrog_20205"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_4"	"phrog_9263"	NA	"unknown function"	"YP_010110866.1"	"phrog_893"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_45"	"phrog_6108"	NA	"unknown function"	"YP_010113009.1"	"phrog_6108"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_69"	"phrog_5031"	NA	"unknown function"	"bin_01||F1M_NODE_1_length_97959_cov_90.685580_69"	"phrog_28764"	NA	"unknown function"	"NA"
"bin_04||F1M_NODE_4_length_46155_cov_6.789046_35"	"phrog_11619"	"DNA methyltransferase"	"other"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_35"	"phrog_11619"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_03||F4M_NODE_2_length_63054_cov_7.600740_24"	"phrog_11619"	"DNA methyltransferase"	"other"	"bin_04||F1M_NODE_4_length_46155_cov_6.789046_35"	"phrog_11619"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_88"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_010112348.1"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_61"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"YP_010112348.1"	"phrog_1252"	"DNA polymerase"	"DNA, RNA and nucleotide metabolism"	"DNA polymerase"
"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_30"	"phrog_9992"	"baseplate assembly protein"	"tail"	"NP_490615.1"	"phrog_9992"	"baseplate assembly protein"	"tail"	"baseplate assembly protein"
"bin_75||F3T2_NODE_62_length_2488_cov_2.678175_3"	"phrog_22155"	NA	"unknown function"	"bin_75||F3T2_NODE_62_length_2488_cov_2.678175_3"	"phrog_22155"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_7"	"phrog_801"	"endolysin; inhibits RNA polymerase"	"lysis"	"bin_22||F1T2_NODE_32_length_4279_cov_35.349905_7"	"phrog_801"	"endolysin; inhibits RNA polymerase"	"lysis"	"endolysin; inhibits RNA polymerase"
"bin_35||F2M_NODE_10_length_22350_cov_5.950034_8"	"phrog_1221"	NA	"unknown function"	"YP_009143218.1"	"phrog_1221"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_80"	"phrog_1221"	NA	"unknown function"	"YP_009143218.1"	"phrog_1221"	NA	"unknown function"	"NA"
"bin_42||F2M_NODE_37_length_9407_cov_31.109816_5"	"phrog_1221"	NA	"unknown function"	"YP_009143218.1"	"phrog_1221"	NA	"unknown function"	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_2"	"phrog_7924"	NA	"unknown function"	"YP_010112149.1"	"phrog_26345"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_56"	"phrog_7924"	NA	"unknown function"	"YP_010112149.1"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_59"	"phrog_314"	"homing endonuclease"	"DNA, RNA and nucleotide metabolism"	"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_59"	"phrog_314"	"homing endonuclease"	"DNA, RNA and nucleotide metabolism"	"homing endonuclease"
"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_3"	"phrog_13297"	NA	"unknown function"	"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_3"	"phrog_781"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_11_length_10844_cov_3.237742_6"	"phrog_13297"	NA	"unknown function"	"bin_38||F2T1_NODE_8_length_6558_cov_4.971552_3"	"phrog_13297"	NA	"unknown function"	"NA"
"bin_81||F4M_NODE_25_length_4092_cov_2.014119_4"	"phrog_1068"	"tail length tape measure protein"	"tail"	"bin_81||F4M_NODE_25_length_4092_cov_2.014119_4"	"phrog_1068"	"tail length tape measure protein"	"tail"	"tail length tape measure protein"
"bin_24||F2T2_NODE_9_length_25951_cov_7.477178_11"	"phrog_1068"	"tail length tape measure protein"	"tail"	"bin_81||F4M_NODE_25_length_4092_cov_2.014119_4"	"phrog_1068"	"tail length tape measure protein"	"tail"	"tail length tape measure protein"
"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_19"	"phrog_64"	"portal protein"	"head and packaging"	"bin_53||F2T2_NODE_13_length_17782_cov_7.428668_19"	"phrog_64"	"portal protein"	"head and packaging"	"portal protein"
"bin_57||F2T2_NODE_5_length_34551_cov_33.694979_23"	"phrog_19"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"YP_007005911.1"	"phrog_19"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"DnaB-like replicative helicase"
"bin_70||F3T2_NODE_3_length_87254_cov_17.672565_62"	"phrog_19"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"YP_007005911.1"	"phrog_19"	"DnaB-like replicative helicase"	"DNA, RNA and nucleotide metabolism"	"DnaB-like replicative helicase"
"bin_15||F1T1_NODE_3_length_34133_cov_11.206438_18"	"phrog_24618"	NA	"unknown function"	"YP_008771935.1"	"phrog_26582"	NA	"unknown function"	"NA"
"bin_06||F1T1_NODE_11_length_12335_cov_9.844788_12"	"phrog_199"	"holin"	"lysis"	"YP_009908853.1"	"phrog_199"	"holin"	"lysis"	"holin"
"bin_44||F2M_NODE_43_length_8145_cov_10.350433_4"	"phrog_199"	"holin"	"lysis"	"YP_009908853.1"	"phrog_199"	"holin"	"lysis"	"holin"
"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_31"	"phrog_52"	"tail protein"	"tail"	"bin_18||F1T1_NODE_6_length_18505_cov_9.144986_31"	"phrog_52"	"tail protein"	"tail"	"tail protein"
"bin_92||F4T1_NODE_68_length_2323_cov_17.405644_3"	"phrog_9863"	"virion structural protein"	"head and packaging"	"YP_008241541.1"	"phrog_9863"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_04||F1M_NODE_7_length_26630_cov_6.160978_1"	"phrog_9863"	"virion structural protein"	"head and packaging"	"YP_008241541.1"	"phrog_9863"	"virion structural protein"	"head and packaging"	"virion structural protein"
"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_3"	"phrog_3037"	"transcriptional repressor"	"transcription regulation"	"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_3"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"transcriptional repressor"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_8"	"phrog_3037"	"transcriptional repressor"	"transcription regulation"	"bin_89||F4T1_NODE_20_length_6436_cov_31.125059_3"	"phrog_2328"	"transcriptional repressor"	"transcription regulation"	"transcriptional repressor"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_2"	"phrog_1295"	NA	"unknown function"	"YP_010080548.1"	"phrog_1295"	NA	"unknown function"	"NA"
"bin_40||F2M_NODE_129_length_2597_cov_69.369788_4"	"phrog_34615"	NA	"unknown function"	"bin_40||F2M_NODE_129_length_2597_cov_69.369788_4"	"phrog_6983"	NA	"unknown function"	"NA"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_17"	"phrog_8119"	NA	"unknown function"	"YP_010110726.1"	NA	NA	NA	"NA"
"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_66"	"phrog_224"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"bin_22||F1T2_NODE_2_length_77290_cov_26.792361_66"	"phrog_1192"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"single strand DNA binding protein"
"bin_10||F1T1_NODE_20_length_9109_cov_4.891208_7"	"phrog_4646"	"transposase"	"integration and excision"	"NP_040341.1"	"phrog_4646"	"transposase"	"integration and excision"	"transposase"
"bin_09||F1T1_NODE_17_length_9589_cov_4.511223_5"	"phrog_4646"	"transposase"	"integration and excision"	"NP_040341.1"	"phrog_4646"	"transposase"	"integration and excision"	"transposase"
"bin_52||F2T2_NODE_11_length_21601_cov_16.946162_2"	"phrog_4646"	"transposase"	"integration and excision"	"NP_040341.1"	"phrog_4646"	"transposase"	"integration and excision"	"transposase"
"bin_25||F2M_NODE_79_length_4626_cov_8.843798_10"	"phrog_216"	"integrase"	"integration and excision"	"YP_009855866.1"	"phrog_216"	"integrase"	"integration and excision"	"integrase"
"bin_14||F1T1_NODE_31_length_5803_cov_3.909012_11"	"phrog_216"	"integrase"	"integration and excision"	"YP_009855866.1"	"phrog_216"	"integrase"	"integration and excision"	"integrase"
"bin_24||F2T2_NODE_38_length_4175_cov_3.584466_2"	"phrog_216"	"integrase"	"integration and excision"	"YP_009855866.1"	"phrog_216"	"integrase"	"integration and excision"	"integrase"
"bin_55||F2T2_NODE_18_length_8995_cov_11.509284_12"	"phrog_216"	"integrase"	"integration and excision"	"YP_009855866.1"	"phrog_216"	"integrase"	"integration and excision"	"integrase"
"bin_87||F4M_NODE_3_length_55935_cov_12.067484_26"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009595951.1"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"Dda-like helicase"
"bin_04||F1M_NODE_3_length_59487_cov_7.401148_25"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"YP_009595951.1"	"phrog_325"	"Dda-like helicase"	"DNA, RNA and nucleotide metabolism"	"Dda-like helicase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_36"	"phrog_315"	"endolysin"	"lysis"	"YP_010110932.1"	"phrog_315"	"endolysin"	"lysis"	"endolysin"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_1"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"NP_955079.1"	"phrog_135"	"dUTPase"	"DNA, RNA and nucleotide metabolism"	"dUTPase"
"bin_36||F2M_NODE_8_length_25165_cov_22.640104_25"	"phrog_7021"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_25"	"phrog_7021"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_5"	"phrog_7021"	NA	"unknown function"	"bin_36||F2M_NODE_8_length_25165_cov_22.640104_25"	"phrog_7021"	NA	"unknown function"	"NA"
"bin_35||F2M_NODE_10_length_22350_cov_5.950034_9"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"bin_35||F2M_NODE_10_length_22350_cov_5.950034_9"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"Mu Gam-like end protection"
"bin_08||F1T1_NODE_87_length_2056_cov_3.024988_2"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"bin_35||F2M_NODE_10_length_22350_cov_5.950034_9"	"phrog_253"	"Mu Gam-like end protection"	"DNA, RNA and nucleotide metabolism"	"Mu Gam-like end protection"
"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_2"	"phrog_22836"	NA	"unknown function"	"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_2"	NA	NA	NA	"NA"
"bin_35||F2M_NODE_11_length_20357_cov_5.705743_21"	"phrog_22836"	NA	"unknown function"	"bin_08||F1T1_NODE_41_length_4955_cov_2.714490_2"	"phrog_7834"	NA	"unknown function"	"NA"
"bin_00||F1M_NODE_29_length_3088_cov_3.327399_2"	"phrog_34953"	NA	"unknown function"	"YP_002221562.1"	"phrog_34953"	NA	"unknown function"	"NA"
"bin_38||F2T1_NODE_6_length_7108_cov_4.665674_3"	"phrog_34953"	NA	"unknown function"	"YP_002221562.1"	"phrog_34953"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_51"	"phrog_1365"	NA	"unknown function"	"YP_010113220.1"	"phrog_1365"	NA	"unknown function"	"NA"
"bin_40||F2M_NODE_129_length_2597_cov_69.369788_5"	"phrog_1365"	NA	"unknown function"	"YP_010113220.1"	"phrog_1365"	NA	"unknown function"	"NA"
"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_2"	"phrog_4282"	NA	"unknown function"	"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_2"	"phrog_4282"	NA	"unknown function"	"NA"
"bin_23||F2M_NODE_6_length_26132_cov_8.647314_15"	"phrog_4282"	NA	"unknown function"	"bin_23||F1T2_NODE_46_length_3262_cov_3.152167_2"	"phrog_4282"	NA	"unknown function"	"NA"
"bin_25||F2M_NODE_35_length_9690_cov_6.026362_10"	"phrog_6568"	NA	"unknown function"	"bin_25||F2M_NODE_35_length_9690_cov_6.026362_10"	"phrog_6568"	NA	"unknown function"	"NA"
"bin_05||F1T1_NODE_43_length_4611_cov_3.309701_7"	"phrog_6568"	NA	"unknown function"	"bin_25||F2M_NODE_35_length_9690_cov_6.026362_10"	"phrog_6568"	NA	"unknown function"	"NA"
"bin_36||F2M_NODE_36_length_9459_cov_25.542960_1"	"phrog_6568"	NA	"unknown function"	"bin_25||F2M_NODE_35_length_9690_cov_6.026362_10"	"phrog_6568"	NA	"unknown function"	"NA"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_7"	"phrog_66"	"excisionase and transcriptional regulator"	"integration and excision"	"bin_78||F4M_NODE_11_length_20080_cov_5.793358_7"	"phrog_66"	"excisionase and transcriptional regulator"	"integration and excision"	"excisionase and transcriptional regulator"
"bin_39||F4T1_NODE_13_length_12920_cov_15.385931_5"	"phrog_873"	"endolysin"	"head and packaging"	"YP_009620067.1"	"phrog_873"	"endolysin"	"head and packaging"	"endolysin"
"bin_25||F2M_NODE_149_length_2278_cov_4.832209_3"	"phrog_873"	"endolysin"	"head and packaging"	"YP_009620067.1"	"phrog_873"	"endolysin"	"head and packaging"	"endolysin"
"bin_45||F4T1_NODE_32_length_4293_cov_12.877875_7"	"phrog_111"	"DNA methyltransferase"	"other"	"YP_007675962.1"	"phrog_111"	"DNA methyltransferase"	"other"	"DNA methyltransferase"
"bin_01||F1M_NODE_1_length_97959_cov_90.685580_18"	"phrog_24956"	NA	"unknown function"	"YP_010112202.1"	"phrog_24956"	NA	"unknown function"	"NA"
"bin_17||F2M_NODE_27_length_10346_cov_5.090565_11"	"phrog_23974"	NA	"unknown function"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_11"	"phrog_23974"	NA	"unknown function"	"NA"
"bin_39||F4T1_NODE_28_length_4911_cov_12.090404_4"	"phrog_23974"	NA	"unknown function"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_11"	"phrog_23974"	NA	"unknown function"	"NA"
"bin_96||F4T2_NODE_5_length_24255_cov_7.660165_4"	"phrog_23974"	NA	"unknown function"	"bin_17||F2M_NODE_27_length_10346_cov_5.090565_11"	"phrog_18533"	NA	"unknown function"	"NA"
"bin_61||F3M_NODE_17_length_5857_cov_3.452603_11"	"phrog_22277"	NA	"unknown function"	"bin_61||F3M_NODE_17_length_5857_cov_3.452603_11"	"phrog_22277"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_86"	"phrog_11788"	NA	"unknown function"	"YP_010112898.1"	"phrog_4282"	NA	"unknown function"	"NA"
"bin_95||F4T2_NODE_20_length_2352_cov_3.403570_4"	"phrog_894"	"endolysin"	"lysis"	"YP_009797523.1"	"phrog_894"	"endolysin"	"lysis"	"endolysin"
"bin_78||F4M_NODE_11_length_20080_cov_5.793358_19"	"phrog_450"	NA	"unknown function"	"YP_007001997.1"	"phrog_450"	NA	"unknown function"	"NA"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_3"	"phrog_1278"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"YP_009226642.1"	"phrog_1278"	"single strand DNA binding protein"	"DNA, RNA and nucleotide metabolism"	"single strand DNA binding protein"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_45"	"phrog_1909"	NA	"unknown function"	"YP_010110816.1"	"phrog_1909"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_95"	"phrog_1909"	NA	"unknown function"	"YP_010110816.1"	"phrog_1909"	NA	"unknown function"	"NA"
"bin_62||F3M_NODE_2_length_96186_cov_32.177903_99"	"phrog_2376"	"ATPase"	"other"	"YP_010113551.1"	"phrog_2376"	"ATPase"	"other"	"ATPase"
"bin_22||F1T2_NODE_3_length_67878_cov_24.094643_29"	"phrog_10368"	NA	"unknown function"	"YP_010110290.1"	"phrog_77"	"SbcC-like subunit of palindrome specific endonuclease"	"DNA, RNA and nucleotide metabolism"	"SbcC-like subunit of palindrome specific endonuclease"
"bin_22||F1T2_NODE_6_length_14301_cov_30.775095_5"	"phrog_11557"	NA	"unknown function"	"YP_010110323.1"	"phrog_11557"	NA	"unknown function"	"NA"
"bin_43||F2M_NODE_3_length_45859_cov_9.702144_65"	"phrog_11557"	NA	"unknown function"	"YP_010110323.1"	"phrog_11557"	NA	"unknown function"	"NA"
"bin_59||F3M_NODE_10_length_11092_cov_7.330887_14"	"phrog_1281"	NA	"unknown function"	"YP_003344834.1"	"phrog_1281"	NA	"unknown function"	"NA"
"bin_26||F4M_NODE_9_length_21262_cov_7.968973_14"	"phrog_112"	"Gp2.5-like ssDNA binding protein and ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"YP_009997002.1"	"phrog_112"	"Gp2.5-like ssDNA binding protein and ssDNA annealing protein"	"DNA, RNA and nucleotide metabolism"	"Gp2.5-like ssDNA binding protein and ssDNA annealing protein"
"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_13"	"phrog_1436"	NA	"unknown function"	"bin_16||F2T2_NODE_31_length_5146_cov_2.359065_13"	"phrog_1436"	NA	"unknown function"	"NA"
"bin_05||F1T1_NODE_10_length_13616_cov_4.586535_15"	"phrog_169"	"tail completion or Neck1 protein"	"connector"	"YP_009206129.1"	"phrog_28895"	NA	"unknown function"	"tail completion or Neck1 protein"
